pair,method_a,method_b,metric,object_code,direction_count,delta_b_minus_a
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,exact_antipodal_180,b97b,60,0.05952380952380953
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,exact_antipodal_180,b9e6,60,0.04285714285714285
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,exact_antipodal_180,ba0f,60,0.023809523809523805
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,exact_antipodal_180,baa9,60,0.0047619047619047615
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,exact_antipodal_180,bb26,60,-0.00714285714285714
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,exact_antipodal_180,bb7c,60,0.00476190476190476
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,exact_antipodal_180,bb7d,60,-0.02619047619047619
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,exact_antipodal_180,bbc6,60,0.019047619047619042
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,exact_antipodal_180,bc2c,60,-0.03095238095238095
hann_ifft_minus_frequency,frequency,hann_ifft,gce_deg,b7c1,60,4.666192061560495
hann_ifft_minus_frequency,frequency,hann_ifft,gce_deg,b7fd,60,15.886495056606474
hann_ifft_minus_frequency,frequency,hann_ifft,gce_deg,b80b,60,1.7272736503964374
hann_ifft_minus_frequency,frequency,hann_ifft,gce_deg,b812,60,4.77606787908645
hann_ifft_minus_frequency,frequency,hann_ifft,gce_deg,b827,60,7.9645526885986335
hann_ifft_minus_frequency,frequency,hann_ifft,gce_deg,b871,60,3.2105456806364514
hann_ifft_minus_frequency,frequency,hann_ifft,gce_deg,b8ed,60,17.862982447942098
hann_ifft_minus_frequency,frequency,hann_ifft,gce_deg,b905,60,3.87940364565168
hann_ifft_minus_frequency,frequency,hann_ifft,gce_deg,b943,60,-0.41045717738923526
hann_ifft_minus_frequency,frequency,hann_ifft,gce_deg,b974,60,0.594240824381511
hann_ifft_minus_frequency,frequency,hann_ifft,gce_deg,b979,60,12.609607056209024
hann_ifft_minus_frequency,frequency,hann_ifft,gce_deg,b97b,60,14.38708078747704
hann_ifft_minus_frequency,frequency,hann_ifft,gce_deg,b9e6,60,5.242942542121525
hann_ifft_minus_frequency,frequency,hann_ifft,gce_deg,ba0f,60,10.969477226620626
hann_ifft_minus_frequency,frequency,hann_ifft,gce_deg,baa9,60,-0.4285714013235912
hann_ifft_minus_frequency,frequency,hann_ifft,gce_deg,bb26,60,3.291277497155326
hann_ifft_minus_frequency,frequency,hann_ifft,gce_deg,bb7c,60,6.963513233548118
hann_ifft_minus_frequency,frequency,hann_ifft,gce_deg,bb7d,60,0.9954026517413891
hann_ifft_minus_frequency,frequency,hann_ifft,gce_deg,bbc6,60,4.81308343069894
hann_ifft_minus_frequency,frequency,hann_ifft,gce_deg,bc2c,60,-9.964742306300572
hann_ifft_minus_frequency,frequency,hann_ifft,top1,b7c1,60,-0.0476190476190476
hann_ifft_minus_frequency,frequency,hann_ifft,top1,b7fd,60,-0.15
hann_ifft_minus_frequency,frequency,hann_ifft,top1,b80b,60,-0.016666666666666666
hann_ifft_minus_frequency,frequency,hann_ifft,top1,b812,60,-0.04523809523809525
hann_ifft_minus_frequency,frequency,hann_ifft,top1,b827,60,-0.13333333333333333
hann_ifft_minus_frequency,frequency,hann_ifft,top1,b871,60,-0.04285714285714286
hann_ifft_minus_frequency,frequency,hann_ifft,top1,b8ed,60,-0.1214285714285714
hann_ifft_minus_frequency,frequency,hann_ifft,top1,b905,60,-0.0380952380952381
hann_ifft_minus_frequency,frequency,hann_ifft,top1,b943,60,0.0
hann_ifft_minus_frequency,frequency,hann_ifft,top1,b974,60,-0.019047619047619053
